Groupe A
0,2	4,839161656
0,4	5,043697771
0,6	4,548758355
0,8	3,626296189
1	3,777023723
1,2	3,009015886
1,4	2,963880389
1,6	2,185124748
1,8	1,809000661
2	1,634322957
2,2	0,919315808
2,4	0,515845586
2,6	0,502571483
2,8	-0,332149786
3	0,082429368
3,2	-0,47429866
3,4	-1,024828934
3,6	-1,660408796
3,8	-2,477061314
4	-2,899482942
4,2	-2,78043264
4,4	-3,067248941
4,6	-3,730859517
4,8	-4,223165137
5	-3,977326057
5,2	-4,699555208
5,4	-4,73372386
5,6	-5,949667516
5,8	-5,912389894
6	-6,750912844
Groupe B
0,2	5,776117785
0,4	6,088224
0,6	5,099807062
0,8	5,285979623
1	5,030360354
1,2	4,118991581
1,4	3,839315515
1,6	3,278899842
1,8	3,210410483
2	2,230539618
2,2	1,913241393
2,4	2,272924192
2,6	1,133540493
2,8	0,633607804
3	0,384251622
3,2	0,17456169
3,4	-0,271964762
3,6	-0,77041877
3,8	-1,182224717
4	-1,100788947
4,2	-2,27745889
4,4	-2,462855515
4,6	-2,187547774
4,8	-3,290209121
5	-3,489036554
5,2	-3,642730068
5,4	-4,616142787
5,6	-4,485012876
5,8	-4,700576381
6	-5,528898302
